Date,Close,High,Low,Open,Volume
1992-01-02,3172.39990234375,3172.6298828125,3139.31005859375,3152.10009765625,23550000
1992-01-03,3201.5,3210.639892578125,3165.919921875,3172.39990234375,23620000
1992-01-06,3200.10009765625,3213.330078125,3191.860107421875,3201.5,27280000
1992-01-07,3204.800048828125,3210.199951171875,3184.47998046875,3200.10009765625,25510000
1992-01-08,3203.89990234375,3229.199951171875,3185.820068359375,3204.800048828125,29040000
1992-01-09,3209.5,3228.31005859375,3192.75,3203.89990234375,29820000
1992-01-10,3199.5,3217.1298828125,3185.3798828125,3209.5,23440000
1992-01-13,3185.60009765625,3201.25,3179.110107421875,3199.5,19300000
1992-01-14,3246.199951171875,3248.8798828125,3182.919921875,3185.60009765625,24220000
1992-01-15,3258.5,3263.419921875,3232.110107421875,3246.199951171875,29560000
1992-01-16,3249.60009765625,3262.75,3222.050048828125,3258.5,38100000
1992-01-17,3265.0,3279.9599609375,3243.2900390625,3249.60009765625,39780000
1992-01-20,3254.0,3269.89990234375,3245.080078125,3265.0,18190000
1992-01-21,3223.39990234375,3254.469970703125,3215.340087890625,3254.0,24160000
1992-01-22,3255.800048828125,3256.0400390625,3216.909912109375,3223.39990234375,21590000
1992-01-23,3226.699951171875,3266.989990234375,3222.93994140625,3255.800048828125,22140000
1992-01-24,3232.800048828125,3248.429931640625,3216.679931640625,3226.699951171875,22600000
1992-01-27,3240.60009765625,3246.64990234375,3230.550048828125,3232.800048828125,19110000
1992-01-28,3272.10009765625,3275.489990234375,3239.93994140625,3240.60009765625,24960000
1992-01-29,3225.0,3299.18994140625,3218.469970703125,3272.10009765625,32500000
1992-01-30,3244.89990234375,3247.320068359375,3216.010009765625,3225.0,22080000
1992-01-31,3223.39990234375,3255.3701171875,3222.719970703125,3244.89990234375,20610000
1992-02-03,3234.10009765625,3239.0400390625,3213.550048828125,3223.39990234375,18860000
1992-02-04,3272.800048828125,3272.81005859375,3229.429931640625,3234.10009765625,23970000
1992-02-05,3257.60009765625,3282.199951171875,3251.7900390625,3272.800048828125,27360000
1992-02-06,3255.60009765625,3265.64990234375,3238.60009765625,3257.60009765625,20490000
1992-02-07,3225.39990234375,3269.89990234375,3207.9599609375,3255.60009765625,21660000
