Macrotrends Data Download

S&amp;P 500 Earnings - 90 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value,eps
2007-07-01,1455.27,78.60
2007-08-01,1473.99,78.60
2007-09-01,1526.75,78.60
2007-10-01,1549.38,66.18
2007-11-01,1481.14,66.18
2007-12-01,1468.36,66.18
2008-01-01,1378.55,60.39
2008-02-01,1330.63,60.39
2008-03-01,1322.70,60.39
2008-04-01,1385.59,51.37
2008-05-01,1400.38,51.37
2008-06-01,1280.00,51.37
2008-07-01,1267.38,45.95
2008-08-01,1282.83,45.95
2008-09-01,1166.36,45.95
2008-10-01,968.75,14.88
2008-11-01,896.24,14.88
2008-12-01,903.25,14.88
2009-01-01,825.88,6.86
2009-02-01,735.09,6.86
2009-03-01,797.87,6.86
2009-04-01,872.81,7.51
2009-05-01,919.14,7.51
2009-06-01,919.32,7.51
2009-07-01,987.48,12.54
2009-08-01,1020.62,12.54
2009-09-01,1057.08,12.54
2009-10-01,1036.19,50.97
2009-11-01,1095.63,50.97
2009-12-01,1115.10,50.97
2010-01-01,1073.87,60.93
2010-02-01,1104.49,60.93
2010-03-01,1169.43,60.93
2010-04-01,1186.69,67.10
2010-05-01,1089.41,67.10
2010-06-01,1030.71,67.10
2010-07-01,1101.60,71.86
2010-08-01,1049.33,71.86
2010-09-01,1141.20,71.86
2010-10-01,1183.26,77.35
2010-11-01,1180.55,77.35
2010-12-01,1257.64,77.35
2011-01-01,1286.12,81.31
2011-02-01,1327.22,81.31
2011-03-01,1325.83,81.31
2011-04-01,1363.61,83.87
2011-05-01,1345.20,83.87
2011-06-01,1320.64,83.87
2011-07-01,1292.28,86.98
2011-08-01,1218.89,86.98
2011-09-01,1131.42,86.98
2011-10-01,1253.30,86.95
2011-11-01,1246.96,86.95
2011-12-01,1257.60,86.95
2012-01-01,1312.41,88.54
2012-02-01,1365.68,88.54
2012-03-01,1408.47,88.54
2012-04-01,1397.91,87.92
2012-05-01,1310.33,87.92
2012-06-01,1362.16,87.92
2012-07-01,1379.32,86.50
2012-08-01,1406.58,86.50
2012-09-01,1440.67,86.50
2012-10-01,1412.16,86.51
2012-11-01,1416.18,86.51
2012-12-01,1426.19,86.51
2013-01-01,1498.11,87.70
2013-02-01,1514.68,87.70
2013-03-01,1569.19,87.70
2013-04-01,1597.57,90.95
2013-05-01,1630.74,90.95
2013-06-01,1606.28,90.95
2013-07-01,1685.73,94.37
2013-08-01,1632.97,94.37
2013-09-01,1681.55,94.37
2013-10-01,1756.54,100.20
2013-11-01,1805.81,100.20
2013-12-01,1848.36,100.20
2014-01-01,1782.59,100.85
2014-02-01,1859.45,100.85
2014-03-01,1872.34,100.85
2014-04-01,1883.95,103.12
2014-05-01,1923.57,103.12
2014-06-01,1960.23,103.12
2014-07-01,1930.67,105.96
2014-08-01,2003.37,105.96
2014-09-01,1972.29,105.96
2014-10-01,2018.05,102.31
2014-11-01,2067.56,102.31
2014-12-01,2058.90,102.31
2015-01-01,1994.99,99.25
2015-02-01,2104.50,99.25
2015-03-01,2067.89,99.25
2015-04-01,2085.51,94.91
2015-05-01,2107.39,94.91
2015-06-01,2063.11,94.91
2015-07-01,2103.84,90.66
2015-08-01,1972.18,90.66
2015-09-01,1920.03,90.66
2015-10-01,2079.36,86.53
2015-11-01,2080.41,86.53
2015-12-01,2043.94,86.53
2016-01-01,1940.24,86.44
2016-02-01,1932.23,86.44
2016-03-01,2059.74,86.44
2016-04-01,2065.30,86.92
2016-05-01,2096.96,86.92
2016-06-01,2098.86,86.92
2016-07-01,2173.60,89.09
2016-08-01,2170.95,89.09
2016-09-01,2168.27,89.09
2016-10-01,2126.15,94.55
2016-11-01,2198.81,94.55
2016-12-01,2238.83,94.55
2017-01-01,2278.87,100.29
2017-02-01,2363.64,100.29
2017-03-01,2362.72,100.29
2017-04-01,2384.20,104.02
2017-05-01,2411.80,104.02
2017-06-01,2423.41,104.02
2017-07-01,2470.30,107.08
2017-08-01,2471.65,107.08
2017-09-01,2519.36,107.08
2017-10-01,2575.26,109.88
2017-11-01,2647.58,109.88
2017-12-01,2673.61,109.88
2018-01-01,2823.81,115.44
2018-02-01,2713.83,115.44
2018-03-01,2640.87,115.44
2018-04-01,2648.05,122.48
2018-05-01,2705.27,122.48
2018-06-01,2718.37,122.48
2018-07-01,2816.29,130.39
2018-08-01,2901.52,130.39
2018-09-01,2913.98,130.39
2018-10-01,2711.74,132.39
2018-11-01,2760.17,132.39
2018-12-01,2506.85,132.39
2019-01-01,2704.10,134.39
2019-02-01,2784.49,134.39
2019-03-01,2834.40,134.39
2019-04-01,2945.83,135.27
2019-05-01,2752.06,135.27
2019-06-01,2941.76,135.27
2019-07-01,2980.38,132.90
2019-08-01,2926.46,132.90
2019-09-01,2976.74,132.90
2019-10-01,3037.56,139.53
2019-11-01,3140.98,139.53
2019-12-01,3230.78,139.53
2020-01-01,3225.52,116.33
2020-02-01,2954.22,116.33
2020-03-01,2584.59,116.33
2020-04-01,2912.43,99.23
2020-05-01,3044.31,99.23
2020-06-01,3100.29,99.23
2020-07-01,3271.12,98.25
2020-08-01,3500.31,98.25
2020-09-01,3363.00,98.25
2020-10-01,3269.96,98.25
2020-11-01,3621.63,98.25
2020-12-01,3756.07,98.25
2021-01-01,3714.24,128.20
2021-02-01,3811.15,128.20
2021-03-01,3972.89,128.20
2021-04-01,4181.17,158.76
2021-05-01,4204.11,158.76
2021-06-01,4297.50,158.76
2021-07-01,4395.26,175.37
2021-08-01,4522.68,175.37
2021-09-01,4307.54,175.37
2021-10-01,4605.38,197.87
2021-11-01,4567.00,197.87
2021-12-01,4766.18,197.87
2022-01-01,4515.55,197.91
2022-02-01,4373.94,197.91
2022-03-01,4530.41,197.91
2022-04-01,4131.93,192.26
2022-05-01,4132.15,192.26
2022-06-01,3785.38,192.26
2022-07-01,4130.29,187.08
2022-08-01,3955.00,187.08
2022-09-01,3585.62,187.08
2022-10-01,3871.98,172.75
2022-11-01,4080.11,172.75
2022-12-01,3839.50,172.75
2023-01-01,4076.60,175.22
2023-02-01,3970.15,175.22
2023-03-01,4109.31,175.22
2023-04-01,4169.48,181.01
2023-05-01,4179.83,181.01
2023-06-01,4450.38,181.01
2023-07-01,4588.96,184.25
2023-08-01,4507.66,184.25
2023-09-01,4288.05,184.25
2023-10-01,4193.80,192.43
2023-11-01,4567.80,192.43
2023-12-01,4769.83,192.43
2024-01-01,4845.65,191.39
2024-02-01,5096.27,191.39
2024-03-01,5254.35,191.39
2024-04-01,5035.69,195.93
2024-05-01,5277.51,195.93
2024-06-01,5460.48,195.93
2024-07-01,5522.30,200.27
2024-08-01,5648.40,200.27
2024-09-01,5762.48,200.27
2024-10-01,5705.45,210.17
2024-11-01,6032.38,210.17
2024-12-01,5881.63,210.17
2025-01-01,6040.53,216.69
2025-02-01,5954.50,216.69
2025-03-01,5611.85,216.69
2025-04-01,5569.06,222.53
2025-05-01,5911.69,222.53
2025-06-01,6204.95,222.53
2025-07-01,6339.39,234.06
2025-08-01,6460.26,234.06
2025-09-01,6688.46,234.06
2025-10-01,6840.20,234.06
2025-11-01,6849.09,234.06
2025-12-01,6845.50,234.06
2026-01-01,6939.03,234.06
2026-02-01,6878.88,234.06
