1995,69
1996,70
1997,72
1998,72
1999,73
2000,75
2001,77
2002,78
2003,79
2004,81
2005,83
2006,85
2007,86
2008,90
2009,90
2010,92
2011,95
2012,98
2013,99
2014,99
2015,100
2016,102
2017,104
2018,106
2019,108
2020,108
2021,112
2022,123
2023,126
2024,132
2025,135
